tweet_id,text,reason,language
2080283363769016443,"""No Evidence"": CBI Cleanchit To 'Kingpin' Of NEET-UG 2024 Paper Leak
https://t.co/E39ZWwbaD7 https://t.co/41p39OuPwb",irrelevant,en
2080282433610735725,"🚨#Important: The PIL filed by a random right-wing element seeking NIA probe against Cockroach Janta Party is highly suspicious.

We request our courts not to allow themselves to be WEAPONISED at the hands of this regime. The entire young generation is looking up at them. The",irrelevant,en
2079502309768200605,"I strongly condemn the TN Government led by @actorvijay for arresting rap singer and my dear brother ‘Therukkural’ Arivu for speaking out against NEET.

His voice reflects the sentiments and demands of not just Tamil Nadu, but millions of people across India.

At a time when the https://t.co/aIJyzewZAC",irrelevant,en
2079211905353429071,"🚨 BIG BREAKING ⚡️⚡️

Find the Child. Treat the Child. Identify Those Responsible or Else File an FIR Against Sourav Das If His Claims Are Found False: NHRC

• A Bench of the NHRC, headed by Member Priyank Kanoongo, has taken cognizance of allegations that a minor girl was https://t.co/s8flhfSh72",irrelevant,en
2079497669425103111,"The government provides these rich farmers with subsidies of ₹2,000 per bag on urea and ₹2,500 per bag on DAP. Farmers’ income is completely tax-free. 
In return, they supply us with grains heavily contaminated with toxic pesticides, all in the name of “Annadata.” People who https://t.co/2VI7O4as3O",irrelevant,en
2080609066053959929,"A suspended criminal cop ‘resigns’ on stage for PR!

Sher Singh. Uttarakhand constable suspended since 2025 after serious charges (IPC 420, 467, 468, 471, 120B + BNS). 

Active member of gangster Praveen Valmiki’s gang. 
Land encroachment, intimidation of a widow, firing on her https://t.co/gZUPhHaXaa",irrelevant,en
2080979234261283219,"Before BJP IT Cell floods your feed with...
""Modi Masterstroke.""
Let's call it what it looks like.
A ""Stupidstroke.""

Dharmendra Pradhan had to go.
No debate.

India's education system is rotten.
It needed surgery.

Not slogans.
Not committees.
Not another press conference.

A https://t.co/pvqu45VQnY",irrelevant,en
2078886401379283017,"Wangchuk has officially dropped his demand for Dharmendra Pradhan’s resignation.

His conditions have narrowed drastically: he now only requires political leaders to meet him at the hospital and pledge to raise the issue of education during the Monsoon Session, which essentially",irrelevant,en
2079260240072315271,"CIA trained CANVAS activist and chief moderator of this regime change operation Yogendra Yadav shared blueprint of his entire plan in coded language 
I simplify it for you 👇

As I said in my privious post, the plan is way more bigger that many people think 

He said today's https://t.co/Jan1tUnvG0",irrelevant,en
2073885662462542127,"🚨Arundathi Roy: A Terrorist Sympathizer ! 

🚨Arundhati Roy is a Pakistani Agent. 
She is a Product of ISI’s Operation Tupac launched in the 1980s where they Hired Indian influencers to Screw India ! 

🚨There were Many sub objectives of this Operation including Financial https://t.co/2LoKi0qNcL",irrelevant,en
2074429621400150058,🚨#𝗕𝗥𝗘𝗔𝗞𝗜𝗡𝗚: 𝗗𝗲𝗹𝗵𝗶 𝗣𝗼𝗹𝗶𝗰𝗲 𝗣𝗹𝗮𝗻𝘀 𝗔𝗹𝗽𝗵𝗮 𝗦𝗰𝗿𝗲𝗲𝗻𝗶𝗻𝗴 𝗮𝘁 𝗖𝗝𝗣 𝗣𝗿𝗼𝘁𝗲𝘀𝘁 𝗦𝗶𝘁𝗲 𝘁𝗼 𝗩𝗮𝗰𝗮𝘁𝗲 𝗜𝘁 https://t.co/DDYp9MW9CR,irrelevant,en
2078764751761592451,"If any medical expert can prove that AISA's Neha Bora has truly been on a hunger strike for 21 days, I'm ready to give them ₹1 crore.

No one who has been on a 21-day hunger strike would have this much energy or be in such a cheerful, laughing mood.

She's not the only one. https://t.co/2VJQemtBOX",irrelevant,en
2081025092243620102,"Cockroaches ❤️

#DharmendraPradhan #NEETExamProtest #EducationMinister #gez #genzee #dmkgenz #NEET #Modi #Delhi #Dharmendrapradhan #SonamWangchuk #CJP #CJPMovement #AbhijeetDipke #CockroachJantaParty #Protest #India #ModiGovernment #BJP #jantarmantar #junaid https://t.co/OYNZApBjbu",duplicate,en
2081022338754343398,"STORY | All 18 Delhi Metro stations reopen after four days as CJP withdraws protest

All 18 Delhi Metro stations in central Delhi, which had remained shut due to security reasons, reopened on Saturday after the Cockroach Janta Party (CJP) withdrew its protest, ending four days of https://t.co/SJkcYH8Ekj",duplicate,en
2081017236635173125,"‼️Just in - CJP 🪳 has withdrawn the protest and has asked all cockroaches to leave immediately. 

Govt made it clear, if they don't leave then Delhi Police will kick them out.

&gt; Saar Modi so weak Saar 🤣🫠

He cleared the🪳 without firing a bullet 🙌🏼 https://t.co/4qtTcufOL6",duplicate,en
2081015300032803088,"As Manish Sisodia arrived at the CJP stage at Jantar Mantar following Dharmendra Pradhan’s resignation, a question from the crowd turned the spotlight on AAP’s own record. 

A person asked when the Punjab Education Minister would resign over an alleged paper leak in the state. https://t.co/I0wFrnakbg",duplicate,en
2081014621608067136,"🚨 #BREAKING | CJP Calls Off Protest

Delhi: Following talks between the Cockroach Janta Party (CJP) delegation and the government, CJP spokesperson Ashutosh Ranka announced during a joint press conference that all of the party's demands had been accepted.

«“All our demands have https://t.co/v9qobch4re",duplicate,en
2081007603463995674,"New Delhi: The CJP protest has come to an end as the central government has fulfilled 3 out of 2 demands of the CJP: resignation of Dharmendra Pradhan and withdrawal of all the FIRs filed against the protesters, whereas the third demand regarding compensation of Rs 1 Cr is still https://t.co/4MsoaqdrpY",duplicate,en
2081003664173674722,"🎥 | Following talks with the CJP delegation, Union Minister JP Nadda said the Centre has agreed to provide copies of the FIRs related to the agitation and assured that no retaliatory action will be taken. He added that the government sympathises with the families of students who https://t.co/yR0wgAcR95",duplicate,en
2081001326146990204,"Thank You ALL🙏🙏
https://t.co/6Fd7Z0D9c4
#NEET #StudentRights #RightToProtest #PeacefulProtest #HumanRights #AbhijeetDipke #CockroachJanataParty #JantarMantar #CJP #Delhi #DelhiPolice #SonamWangchuk #Police #Protest #CivilRights #HumanRights #FreedomOfExpression #Democracy",duplicate,en
2081001149499682960,"VIDEO | Delhi: CJP Protesters celebrate at Jantar Mantar as Dharmendra Pradhan resigns. 

CJP leader Ashutosh Ranka says, ""The government has agreed to withdraw all FIRs registered so far by Delhi Police or other agencies related to the protests. It has also been agreed that in https://t.co/6n4r4crtPe",duplicate,en
2081000257656086600,"CJP calls off protest but now their politics will start 😂

CJP has announced to END the Jantar Mantar agitation after Govt assurances.

Finally, Delhi will breathe free 🇮🇳

#DharmendraPradhan #RestorePeace
#TimeToEndProtest 
#NEETExamProtest
#जंतर_मंतर_ब्रेकिंग_न्यूज https://t.co/rnbwnauQCk",duplicate,en
2080999745041170800,"Close of a chapter
Beginning of new education era 

Jai Hind 

We will fight back when needed 

Protest ended 
Back to home 

#DharmendraPradhan #cjp #protest 
#JantarMantar  #delhi #SonamWangchuk",duplicate,en
2080998895648231784,"Cockroach Janta Party (CJP) has withdrawn its nationwide agitation with immediate effect, stating that all its demands have been accepted by the government. According to the party, these include: (1) maximum possible compensation for families of those who died by suicide in https://t.co/o10l8acpMB",duplicate,en
2080995760456216658,"Internet, metro, liquor shops:‼️ 

What is restricted in Delhi amid CJP protest‼️⁉️ https://t.co/umPFXWypvm",duplicate,en
2080995751111573597,"JP Nadda meets the CJP delegation in Delhi, discussing FIRs, compensation and other demands raised during the protest

#JPNadda #CJP #Delhi #ProtestUpdate #GovernmentTalks #StudentIssues #NewsUpdate https://t.co/KXyxPk10Gm",duplicate,en
2080995522182254594,"Violence During CJP Protest: Delhi Police Registers 15 FIRs, Attempt to Murder Charge Added
#DelhiPolice #CJP #StudentProtests #Violence #LawAndOrder #NEET #BreakingNews #Delhi
@DelhiPolice
https://t.co/Vl59WmqaFB",duplicate,en
2080994983264600403,"Delhi: After talks between the CJP delegation and the government, CJP spokesperson Ashutosh Ranka said during a joint press conference that all their demands have been accepted. He appealed to protesters to peacefully withdraw the protest with immediate effect. #CJP #Delhi https://t.co/XB30CmTxXQ",duplicate,en
2080993607759311085,"CJP has withdrawn protest, if anybody creates anarchy, delhi police has full right to smash the shit out of them",duplicate,en
2080992683267629354,"The Cockroach Janta Party has announced that it is withdrawing the CJP protest and has asked all protesters to return home peacefully.

If anyone continues creating chaos at Jantar Mantar after this, it will be up to the Delhi Police to deal with them. https://t.co/qBFVRRQOXo",duplicate,en
2080992565676093619,"CJP ends protest after government accepts demands 🛑

NEW DELHI — According to CJP spokesperson, the government has accepted the demands to withdraw cases against protesters and provide compensation.

The protest has now been ended, and students have been asked to go home.
The",duplicate,en
2080992457190478154,"After talks with the government, Cockroach Janta Party (CJP) National Spokesperson Ashutosh Ranka said all of the group's demands have been accepted and appealed to protesters at Delhi's Jantar Mantar to withdraw peacefully and return home safely. He said the party would share https://t.co/iTsyp24INW",duplicate,en
2080992133775794533,"CJP agrees to withdraw protest 

Delhi police and RAF deployed at jantar mantar :  https://t.co/omHcdTfKVX",duplicate,en
2080991886303809712,"#Delhi: After talks between the CJP delegation and the government, during a joint press conference, CJP spokesperson Ashutosh Ranka says, “All our demands have been accepted. We request the protestors to peacefully withdraw the protest with immediate effect.”

#NEETIssue https://t.co/XdCNIUTKfC",duplicate,en
2080990577219534857,"After talks with the government, Cockroach Janta Party (CJP) Chief Spokesperson Saurav Das said the Centre has accepted the group's second key demand to withdraw FIRs filed against protesters in Delhi and BJP-ruled or BJP-allied states. Das said the government assured that copies https://t.co/f1Am9R9DHD",duplicate,en
2080989953560019072,"Beauty of Democracy ☺️ 

A historic handshake between the Gen G (Youth) of India 🇮🇳 and the leadership of the world's largest democracy, represented by the world's largest political party.🇮🇳

#जंतर_मंतर_ब्रेकिंग_न्यूज 
#india 
#cjp #protest 
#delhi #bjp https://t.co/Ts85d74bej",duplicate,en
2080988913502679270,"VIDEO | Delhi: After talks between the CJP delegation and the government, during a joint press conference, CJP spokesperson Ashutosh Ranka says, “All our demands have been accepted. We request the protestors to peacefully withraw the protest with immediate effect.”

(Full video https://t.co/COyNV6Z815",duplicate,en
2080988852416545260,"#JustIn | Cockroach Janta Party withdraws its agitation
 🪳✊ #CJP Protest #Live Updates ➠ https://t.co/uzcG4xPKle 📋   #CJP #Delhi #DelhiProtest #NEET https://t.co/F9Sbcr6dbF",duplicate,en
2080987967439733121,Delhi High Court allowed an NGO to claim money from CJP (Cockroach Janta Party) protesters for the public and private property they damaged during their protest.​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ https://t.co/bWpLRNgfhX,duplicate,en
2080987568175526272,CJP has called off its protest at Delhi Jantar Mantar https://t.co/d9Ez9DUsnb,duplicate,en
2080986514645991784,Government promises that All FIRs filed by police in delhi and other bjp ruled states will be shared with CjP in 2-3 days and then all these FIRs will be withdrawn.  Also says no future action against protest organisers of CJP .,duplicate,en
2080986055847875019,"VIDEO | Delhi: Addressing a joint press conference with Union Ministers Jitendra Singh and JP Nadda, CJP 's Ashutosh Ranka says, ""Over the past few days, we have had three rounds of discussions with the government's delegation. Our protest at Jantar Mantar had been going on for https://t.co/AB2FuX7Bic",duplicate,en
2080984299717714285,Delhi police flags 400 people with criminal records near CJP protest using facial recognition system‼️‼️⁉️,duplicate,en
2080981560380018983,https://t.co/OjuFUBEPls a ground report by my son kartikeya bhattacharyya on jantar mantar today after the resignation of @dpradhanbjp his take: the movement will continue.,irrelevant,en
2080970672822518187,"Kanhaiya Kumar, who once called himself a student leader, was completely absent during the CJP protest. He was enjoying himself, sleeping in air-conditioned comfort, and did not make a single statement in support of the CJP protest or participate in it for even one day.

Students https://t.co/WbTRq1w62Q",duplicate,en
2080968904374091896,"I don't think it's makes any difference wheather Pradhan is there or not but real issue within education system and its bureaucracy, Modi took many bold steps to change it till now, yesterday he announced and passed strict laws against paper leak's culprits so PM already took https://t.co/3UnBonDzhz",irrelevant,en
2080964365109665990,"Thankyou @narendramodi for listening to your supporters..

https://t.co/QoFL2Gjj78",irrelevant,en
2080963461333582295,"Dharmendra Pradhan's resignation must be read for what it actually is not what it appears to be.

This is not a government backing down. This is BJP playing chess while its opponents are playing checkers.

The calculation is precise and deliberate. Pradhan's exit neutralises the",irrelevant,en
2080963280089342040,"Following the resignation of former Education Minister Dharmendra Pradhan, which is being seen as a major victory for the CJP protests and the broader student movement, the Delhi Police have announced that all Delhi Metro stations are now open. Metro services are reportedly free",duplicate,en
2080963179136594214,"@rssbharat_ @Cockroachisback I don't think it's makes any difference wheather Pradhan is there or not but real issue within education system and its bureaucracy, Modi took many bold steps to change it till now, yesterday he announced and passed strict laws against paper leak's culprits so PM already took",irrelevant,en
2080962331463557600,"Union Education Minister Dharmendra Pradhan has tendered his resignation  just hours before the third round of talks between the Cockroach Janta Party and the Centre. 

https://t.co/dV56as3w4U",irrelevant,en
2080962029888692499,"This article breaks down the public records behind a major claim: that a Western-funded ecosystem of NGOs, activists, and academics is operating to slow India's development and weaken its global story. https://t.co/Y6ih30ElWF",irrelevant,en
2080961932694261825,"@AsifAli_Haider @Cockroachisback Don't take credit of Pradhan resigns, don't think it's makes any difference wheather Pradhan is there or not but real issue within education system and its bureaucracy, Modi took many steps to change it till now, yesterday he announced and passed strict laws against paper leaks",irrelevant,en
2080960281493357046,"As per sources, a former CJP member who was expelled from the CJP protest leaked CJP's future plan after being expelled.

The plan reportedly reached the government.

According to the ex-CJP member, there was a much bigger plan behind the CJP protest. They wanted to expand the",duplicate,en
