Topic,Count,Name,Representation,Representative_Docs
-1,288,-1_protest_cjp_cjp protest_delhi,"['protest', 'cjp', 'cjp protest', 'delhi', 'https', 'police', 'delhi police', 'riots', 'modi', 'students']","['@wokeflix Since 2014_\n-Intolerance campaign\n-Award return show by Urban Naxals\n-Shaheen Bagh\n-Delhi Riots\n-Fake Farmers Protest\n-Republic Day Riots\n-Manipur Kuki Terrorism\n-West Bengal Anti-Hindu Riots by TMC\n-AAP-CJP rampage\n\nHardly any concrete action after winning elections everywhere🤐 https://t.co/jrNRCWgq8b', '@VijayGajeraO Since 2014_\n-Intolerance campaign\n-Award return show by Urban Naxals\n-Shaheen Bagh\n-Delhi Riots\n-Fake Farmers Protest\n-Republic Day Riots\n-Manipur Kuki Terrorism\n-West Bengal Anti-Hindu Riots by TMC\n-AAP-CJP rampage\n\nHardly any concrete action after winning elections everywhere🤐 https://t.co/MMWfBZrmjV', 'VIDEO | Delhi: As Union Education Minister Dharmendra Pradhan posts a letter, saying he has sent his resignation to PM Modi, CJP founder Abhijeet Dipke says, “Dharmendra Pradhan has resigned. This is the proof that if you don’t get scared, if you don’t bow down in front of this https://t.co/ztgGjB21uu']"
0,103,0_police_delhi police_delhi_personnel,"['police', 'delhi police', 'delhi', 'personnel', 'police personnel', 'protest', 'violence', 'https', 'registered', 'cjp']","['Students protest in Delhi | Delhi Police Sources say - 130 Police personnel have been injured. 15 FIRs have been registered. About 65 students were injured in the protest. Around 10,000 people on average are present at and around Jantar Mantar, 3000 Police personnel deployed https://t.co/eI8csRNQdR', 'Delhi Police sources say 130 police personnel and 65 students were injured during the July 20 CJP protest. A total of 15 FIRs have been registered in connection with the incident.\n\n#Delhi #CJP #Protest #DelhiPolice #Students #NewsUpdate #OI https://t.co/fkXdvyEman', ""130 police personnel, 65 students injured; 15 FIRs registered in connection with CJP's July 20 protest, say Delhi police sources\n\nRead @ANI Story |\nhttps://t.co/vcFsAab6K1\n\n#CJP #July20Protest #DelhiPolice #PolicePersonnel #StudentInjured #FIRs https://t.co/yCZMokbeIv""]"
1,93,1_cockroach_party_janta party_janta,"['cockroach', 'party', 'janta party', 'janta', 'cockroach janta', 'party cjp', 'mantar', 'jantar mantar', 'jantar', 'delhi']","['Watch | Delhi Police held a press conference on the ongoing Cockroach Janata Party (CJP) protest.\n\nDCP Central Rohit Rajbir Singh said, ""Our investigation has revealed that some social media accounts operated from Pakistan are spreading fake content related to the protest. So https://t.co/bSuMsP1IPR', '#WATCH | Delhi: On the misleading and false information related to Jantar Mantar protest, DCP Central Rohit Rajbir Singh says, ""A protest has been going on at Jantar Mantar for the past several weeks by the Cockroach Janata Party... Information on social media goes viral very https://t.co/eStIyMXa1Y', '🚨 #NewsAlert | Delhi Police held a press conference regarding the ongoing Cockroach Janata Party (CJP) protest.\n\n📌 DCP Central Rohit Rajbir Singh said, ""For the past several weeks, the Cockroach Janata Party (CJP) protest has been underway at Jantar Mantar. Information spreads https://t.co/fRezl4X5U8']"
2,77,2_education_education minister_minister_pradhan,"['education', 'education minister', 'minister', 'pradhan', 'dharmendra', 'dharmendra pradhan', 'resignation', 'minister dharmendra', 'union education', 'union']","[""CJP is celebrating the resignation of India's Education Minister, Dharmendra Pradhan. Yet it says the protest will not end until its other demands are met:\n\n₹1 crore in compensation for the families of students who died by suicide.\nA public apology from the Delhi Police.\nAction https://t.co/22ORhffIY0"", 'CJP celebrates resignation of India’s Education Minister Dharmendra Pradhan. Yet CJP says won’t end protest until other demands are met:\n\nCompensation of ₹1 crore for families of students who died by suicide.\n\nDelhi Police public apology. (1/2)', 'CJP celebrates resignation of India’s Education Minister Dharmendra Pradhan. Yet CJP says won’t end protest until other demands are met:\n\nCompensation of ₹1 crore for families of students who died by suicide.\n\nDelhi Police public apology. Action against those who ordered']"
3,60,3_metro_stations_delhi metro_metro stations,"['metro', 'stations', 'delhi metro', 'metro stations', '18', 'closed', 'shut', 'remain', 'amid', 'central']","['For the fourth consecutive day, 18 Delhi Metro stations in central Delhi remain closed due to heightened security around the ongoing CJP protest near Jantar Mantar. \n\nServices are suspended from 7:30 AM until further notice, while interchange facilities remain available at Rajiv https://t.co/gRqQhn35SC', 'Eighteen Delhi Metro stations in central Delhi remained closed for the fourth consecutive day on Saturday due to security concerns amid the ongoing CJP-led protest at Jantar Mantar. According to the DMRC, the stations will remain shut from 7:30 am until further notice, while https://t.co/NyWM1PROpe', 'STORY | 18 Delhi Metro stations remain shut for fourth straight day amid CJP protest\n\nEighteen Delhi Metro stations in central Delhi remained closed for the fourth straight day on Saturday due to security concerns amid the ongoing Cockroach Janta Party (CJP) protest near the https://t.co/ShVEgl7lpM']"
4,56,4_cjp protest_protest_https_cjp,"['cjp protest', 'protest', 'https', 'cjp', 'protest https', 'like', 'reel', 'best', 'reality', 'neha bora']","['TikTok era is officially back... 💀\n\nThe CJP protest turned this guy into an influencer overnight.\n\nHis video alone crossed 127+ million views overnight.\n\nMeanwhile, it also made every random cockroach, tiny news channel, and small creator go viral.\n\nAt this point, it even made https://t.co/2D1llHQFiE', ""My Instagram feed is full of CJP protest videos. I haven't liked or saved any posts, yet dozens of such videos keep showing up. It looks like Meta wants a Nepal like situation in India."", 'Corruption is in blood of this government, imagine throwing expiry tear gas ? \n\nBhai babus aur neta logo ne iss desh ka satyanash kar diya hai, iss government ne corruption itna legalized kar diya hai ki ab human value kuch rahi hi nahi hai, CJP protest jantar mantar mein expiry https://t.co/TLnJuqNIeb']"
5,59,5_food_mantar_jantar mantar_jantar,"['food', 'mantar', 'jantar mantar', 'jantar', 'water', 'security', 'delhi', 'delivery', 'cjp', 'police']","['@CJP_for_India 🙏 CJP stay 💪 Thank you to all the noble souls worldwide sending food for our hungry &amp; thirsty protestors at Jantar Mantar, Delhi.\nModi &amp; Amit Shah have cut power, water, sanitation, jammed networks &amp; sent goons to beat up students and parents.\nJantar Mantar is sealed for days.', 'VIDEO | Delhi: Jantar Mantar completely barricaded and sealed as CJP-led protest continues; heavy security deployed at the site.\n\n(Full video  available on PTI Videos - https://t.co/n147TvrpG7) https://t.co/mbg7pNdlKh', 'VIDEO | Jantar Mantar Protest: ""Food and water being stopped\', says CJP spokesperson Saurav Das in heated argument with Delhi Police.\n\n#JantarMantarProtest #CJP\n\n(Full video available on PTI Videos - https://t.co/n147TvrpG7) https://t.co/JDrzIUjhdO']"
6,69,6_nadda_spokesperson_jp_jp nadda,"['nadda', 'spokesperson', 'jp', 'jp nadda', 'ministers', 'jitendra', 'jitendra singh', 'das', 'union ministers', 'union']","['Watch | Delhi: A meeting was held between Union Ministers JP Nadda and Jitendra Singh and Cockroach Janta Party’s Chief Spokesperson Saurav Das and National Spokesperson Ashutosh Ranka. \n\n@JPNadda | @DrJitendraSingh | @abhijeet_dipke | @SauravDassss | @AshutoshRanka | #Delhi | https://t.co/rdmvnVghfA', ""Delhi | Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. \n🪳✊ #CJP Protest #Live Updates ➠ https://t.co/uzcG4xQiaM 📋 https://t.co/D8IYtzM577"", ""#WATCH | Delhi: Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. \n🪳✊ #CJP Protest #Live Updates ➠ https://t.co/uzcG4xQiaM 📋 https://t.co/xd1YCYBIzI""]"
7,45,7_identified_criminal_recognition_delhi police,"['identified', 'criminal', 'recognition', 'delhi police', 'facial', 'facial recognition', 'criminals', 'police', 'criminal records', 'records']","['Delhi Police IDENTIFIED several ""BAD CHARACTERS"" with CRIMINAL records ahead of the CJP protest and took 215 people into PREVENTIVE CUSTODY based on intelligence inputs to PREVENT any law-and-order disruption.', '🚨 BIG BREAKING\n\nDelhi Police IDENTIFIED several ""BAD CHARACTERS"" with CRIMINAL records ahead of the CJP protest and took 215 people into PREVENTIVE CUSTODY based on intelligence inputs to PREVENT any law-and-order disruption.', '🚨 BIG BREAKING\n\nDelhi Police IDENTIFIED several ""BAD CHARACTERS"" with CRIMINAL records ahead of the CJP protest and took 215 people into PREVENTIVE CUSTODY based on intelligence inputs to PREVENT any law-and-order disruption.']"
8,53,8_demands_accepted_government_demands accepted,"['demands', 'accepted', 'government', 'demands accepted', 'ranka', 'ashutosh ranka', 'ashutosh', 'immediate effect', 'effect', 'immediate']","['Delhi : After talks between the CJP delegation and the government, during a joint press conference, CJP spokesperson Ashutosh Ranka says, “All our demands have been accepted. We request the protestors to peacefully withraw the protest with immediate effect.” https://t.co/RVWy74NsUj', '#Delhi: After talks between the CJP delegation and the government, during a joint press conference, CJP spokesperson Ashutosh Ranka says, “All our demands have been accepted. We request the protestors to peacefully withdraw the protest with immediate effect.”\n\n#NEETIssue https://t.co/XdCNIUTKfC', 'Delhi: After talks between the CJP delegation and the government, during a joint press conference, CJP spokesperson Ashutosh Ranka says, “All our demands have been accepted. We request the protestors to peacefully withdraw the protest with immediate effect.” https://t.co/s5XN84PYP3']"
